host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,availability_eoy,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,n_amenities,n_verifications,property_type_clean,host_years,neighbourhood_cleansed_freq,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_Eixample,neighbourhood_group_cleansed_Gràcia,neighbourhood_group_cleansed_Horta-Guinardó,neighbourhood_group_cleansed_Les Corts,neighbourhood_group_cleansed_Nou Barris,neighbourhood_group_cleansed_Sant Andreu,neighbourhood_group_cleansed_Sant Martí,neighbourhood_group_cleansed_Sants-Montjuïc,neighbourhood_group_cleansed_Sarrià-Sant Gervasi
1.0,90.0,93.0,1.0,1.0,1.0,41.37722,2.18944,1.0,1.0,1.0,1.0,60.0,31,40,12,58,198,58,255,15300.0,4.57,4.43,4.16,4.86,4.87,4.91,4.54,0,1,1.23,18,2,Private room in rental unit,14.052054794520547,0.02622359608449253,0,1,0,0,0,0,0,0,0,0,0,0
0.0,100.0,100.0,0.0,1.0,1.0,41.39268,2.17214,6.0,2.0,3.0,3.0,365.0,2,180,10,206,103,87,144,52560.0,4.59,4.73,4.72,4.71,4.79,4.87,4.55,1,14,0.63,33,3,Entire rental unit,14.04109589041096,0.12447192168985059,0,0,0,1,0,0,0,0,0,0,0,0
0.0,100.0,100.0,0.0,1.0,1.0,41.39184,2.17146,6.0,2.0,3.0,3.0,423.0,2,180,8,194,181,75,255,107865.0,4.7,4.74,4.7,4.48,4.72,4.88,4.57,1,14,1.71,35,3,Entire rental unit,14.04109589041096,0.12447192168985059,0,0,0,1,0,0,0,0,0,0,0,0
0.0,100.0,100.0,1.0,1.0,1.0,41.3778,2.1582,2.0,1.0,1.0,1.0,156.0,6,1125,2,16,202,2,240,37440.0,4.66,4.75,4.75,4.79,4.83,4.79,4.56,0,1,1.24,24,2,Entire rental unit,14.021917808219179,0.0527047913446677,0,0,0,1,0,0,0,0,0,0,0,0
0.0,100.0,86.0,1.0,1.0,1.0,41.3895,2.15769,4.0,2.0,2.0,2.0,208.0,3,365,2,58,357,41,255,53040.0,4.73,4.81,4.72,4.8,4.88,4.9,4.65,0,43,2.15,28,2,Entire rental unit,14.01917808219178,0.05368366821226172,0,0,0,1,0,0,0,0,0,0,0,0
0.0,83.0,28.0,0.0,1.0,1.0,41.37314,2.16789,6.0,1.0,2.0,5.0,173.0,3,330,24,359,2,102,0,0.0,3.5,4.0,3.0,5.0,5.0,4.5,3.0,0,413,0.01,38,2,Entire rental unit,14.005479452054795,0.04404945904173107,0,0,0,0,0,0,0,0,0,0,1,0
0.0,98.0,98.0,1.0,1.0,1.0,41.38306672940918,2.1551754500947617,6.0,2.0,3.0,4.0,236.0,1,1125,0,243,161,43,108,25488.0,4.69,4.77,4.84,4.84,4.81,4.81,4.59,1,15,1.01,58,3,Entire condo,14.016438356164384,0.04234930448222566,0,0,0,1,0,0,0,0,0,0,0,0
0.0,98.0,98.0,1.0,1.0,1.0,41.39175721131073,2.125056260360505,6.0,2.0,3.0,4.0,266.0,1,1125,8,250,105,53,120,31920.0,4.76,4.75,4.76,4.86,4.84,4.7,4.54,1,15,0.65,46,3,Entire condo,14.016438356164384,0.00443070582174137,0,0,0,0,0,0,0,0,0,0,0,1
0.0,90.0,98.0,1.0,1.0,1.0,41.39086,2.18803,4.0,1.0,1.0,2.0,156.0,7,120,2,250,356,41,255,39780.0,4.93,4.93,4.9,4.95,4.96,4.94,4.79,1,1,2.15,76,2,Entire rental unit,13.983561643835616,0.009788768675940238,0,0,0,0,0,0,0,0,0,1,0,0
0.0,83.0,28.0,0.0,1.0,1.0,41.38493,2.1809,6.0,1.0,3.0,4.0,240.0,32,330,1,224,11,1,64,15360.0,4.91,4.82,4.73,4.91,4.64,5.0,4.82,0,413,0.07,39,2,Entire rental unit,14.005479452054795,0.06409067490984029,0,0,0,0,0,0,0,0,0,0,0,0
